case_id,class,repeat,artifact_hash,expected_status,observed_semantic_status,observed_ir_value,translation_valid,policy_status,lean_status,certificate_status,correct,failure_reason
v3-positive-symmetrized-nonlocal,positive,0,74a752c9627ea371de051df9b17cc50a318831c4a7fc2f443345b168fcc84bf9,supported-and-compatible,supported-and-compatible,"{""locality"": {""available"": true, ""expected"": ""non_local"", ""observed_local"": false, ""off_diagonal_nonzero"": [{""source"": 0, ""target"": 1}, {""source"": 0, ""target"": 2}, {""source"": 0, ""target"": 3}, {""source"": 0, ""target"": 4}, {""source"": 1, ""target"": 0}, {""source"": 1, ""target"": 2}, {""source"": 1, ""target"": 3}, {""source"": 1, ""target"": 4}, {""source"": 2, ""target"": 0}, {""source"": 2, ""target"": 1}, {""source"": 2, ""target"": 3}, {""source"": 2, ""target"": 4}, {""source"": 3, ""target"": 0}, {""source"": 3, ""target"": 1}, {""source"": 3, ""target"": 2}, {""source"": 3, ""target"": 4}, {""source"": 4, ""target"": 0}, {""source"": 4, ""target"": 1}, {""source"": 4, ""target"": 2}, {""source"": 4, ""target"": 3}], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""symmetrized"", ""xc"": ""hinge""}",True,structurally_certifiable,verified,verified,True,
v3-positive-zero-local,positive,0,3e9055750cff5dfb67dcba06fccc9b6d8d8dd2cf9dea77bcd0db3f3358623758,supported-and-compatible,supported-and-compatible,"{""locality"": {""available"": true, ""expected"": ""local"", ""observed_local"": true, ""off_diagonal_nonzero"": [], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""zero"", ""xc"": ""hinge""}",True,structurally_certifiable,verified,verified,True,
v3-positive-identity-local,positive,0,a134938812f2c427201db499a45a7e0c0d63c3564b5e751cc04b629124a8b2b4,supported-and-compatible,supported-and-compatible,"{""locality"": {""available"": true, ""expected"": ""local"", ""observed_local"": true, ""off_diagonal_nonzero"": [], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""identity"", ""xc"": ""hinge""}",True,structurally_certifiable,verified,verified,True,
v3-mismatch-identity-claimed-nonlocal,near_miss,0,3b9a83c4380256b48adbe16c6e64ee29ba264adf2541e622e9e23844220fe917,supported-but-incompatible,supported-but-incompatible,"{""locality"": {""available"": true, ""expected"": ""non_local"", ""observed_local"": true, ""off_diagonal_nonzero"": [], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""identity"", ""xc"": ""hinge""}",True,structural_requirements_not_met,not_run,ineligible,True,
v3-mismatch-symmetrized-claimed-local,near_miss,0,df1fe5b2238fe3bb06e4b5139de7d3914edbaa100c43517890103efa4f377455,supported-but-incompatible,supported-but-incompatible,"{""locality"": {""available"": true, ""expected"": ""local"", ""observed_local"": false, ""off_diagonal_nonzero"": [{""source"": 0, ""target"": 1}, {""source"": 0, ""target"": 2}, {""source"": 0, ""target"": 3}, {""source"": 0, ""target"": 4}, {""source"": 1, ""target"": 0}, {""source"": 1, ""target"": 2}, {""source"": 1, ""target"": 3}, {""source"": 1, ""target"": 4}, {""source"": 2, ""target"": 0}, {""source"": 2, ""target"": 1}, {""source"": 2, ""target"": 3}, {""source"": 2, ""target"": 4}, {""source"": 3, ""target"": 0}, {""source"": 3, ""target"": 1}, {""source"": 3, ""target"": 2}, {""source"": 3, ""target"": 4}, {""source"": 4, ""target"": 0}, {""source"": 4, ""target"": 1}, {""source"": 4, ""target"": 2}, {""source"": 4, ""target"": 3}], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""symmetrized"", ""xc"": ""hinge""}",True,structural_requirements_not_met,not_run,ineligible,True,
v3-nearmiss-cross-not-self-adjoint,near_miss,0,716bafef7ff4b4f0b070519968139c2f92b49b2f38867ad9a26fa29f831366b8,supported-but-incompatible,supported-but-incompatible,"{""locality"": {""available"": true, ""expected"": ""non_local"", ""observed_local"": false, ""off_diagonal_nonzero"": [{""source"": 0, ""target"": 1}, {""source"": 0, ""target"": 2}, {""source"": 0, ""target"": 3}, {""source"": 0, ""target"": 4}, {""source"": 1, ""target"": 0}, {""source"": 1, ""target"": 2}, {""source"": 1, ""target"": 3}, {""source"": 1, ""target"": 4}, {""source"": 2, ""target"": 0}, {""source"": 2, ""target"": 1}, {""source"": 2, ""target"": 3}, {""source"": 2, ""target"": 4}, {""source"": 3, ""target"": 0}, {""source"": 3, ""target"": 1}, {""source"": 3, ""target"": 2}, {""source"": 3, ""target"": 4}, {""source"": 4, ""target"": 0}, {""source"": 4, ""target"": 1}, {""source"": 4, ""target"": 2}, {""source"": 4, ""target"": 3}], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""unconstrained_parameter"", ""xc"": ""hinge""}",True,structural_requirements_not_met,not_run,ineligible,True,
v3-unsupported-nested-operator,unsupported,0,740b4fee3ec3b6ddc10c759d411bee3ce3b8b720ad9e3f9bf63cd86f6fa844fa,unsupported,unsupported,"{""locality"": {""available"": false, ""expected"": ""non_local"", ""observed_local"": null, ""off_diagonal_nonzero"": null, ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""unsupported"", ""xc"": ""hinge""}",True,formalization_required,not_run,ineligible,True,
v3-malformed-invalid-locality-value,malformed,0,ffd2bfb81f1d96be92ce5a93690cdb59ce3b997e7944d77e9f993518f6f53b11,malformed,malformed,,False,not_run,not_run,ineligible,True,ManifestError: input_constraints.expected_locality must be 'local' or 'non_local'
v3-positive-symmetrized-nonlocal-chain,positive,0,695aadf6435b1f276f16ffe6f398f9369c5d2f62505fabf6f61abfb06038523c,supported-and-compatible,supported-and-compatible,"{""locality"": {""available"": true, ""expected"": ""non_local"", ""observed_local"": false, ""off_diagonal_nonzero"": [{""source"": 0, ""target"": 1}, {""source"": 0, ""target"": 2}, {""source"": 0, ""target"": 3}, {""source"": 1, ""target"": 0}, {""source"": 1, ""target"": 2}, {""source"": 1, ""target"": 3}, {""source"": 2, ""target"": 0}, {""source"": 2, ""target"": 1}, {""source"": 2, ""target"": 3}, {""source"": 3, ""target"": 0}, {""source"": 3, ""target"": 1}, {""source"": 3, ""target"": 2}], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""symmetrized"", ""xc"": ""hinge""}",True,structurally_certifiable,verified,verified,True,
v3-nearmiss-smooth-xc-independent-of-locality,near_miss,0,2f87a60980a6e9af7c218a6eec94ba05d6db03319193c837cd27093813c16b2e,supported-but-incompatible,supported-but-incompatible,"{""locality"": {""available"": true, ""expected"": ""non_local"", ""observed_local"": false, ""off_diagonal_nonzero"": [{""source"": 0, ""target"": 1}, {""source"": 0, ""target"": 2}, {""source"": 0, ""target"": 3}, {""source"": 0, ""target"": 4}, {""source"": 1, ""target"": 0}, {""source"": 1, ""target"": 2}, {""source"": 1, ""target"": 3}, {""source"": 1, ""target"": 4}, {""source"": 2, ""target"": 0}, {""source"": 2, ""target"": 1}, {""source"": 2, ""target"": 3}, {""source"": 2, ""target"": 4}, {""source"": 3, ""target"": 0}, {""source"": 3, ""target"": 1}, {""source"": 3, ""target"": 2}, {""source"": 3, ""target"": 4}, {""source"": 4, ""target"": 0}, {""source"": 4, ""target"": 1}, {""source"": 4, ""target"": 2}, {""source"": 4, ""target"": 3}], ""rule"": {""name"": ""operator_offdiag_abs_threshold"", ""threshold"": 1e-09, ""version"": 1}}, ""operator"": ""symmetrized"", ""xc"": ""smooth""}",True,structural_requirements_not_met,not_run,ineligible,True,
